,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
460,5,60,l1,20,True,15,2,0.17487684729064001
415,10,30,l2,10,True,25,1,0.17487684729064001
459,5,60,l2,20,True,5,2,0.17487684729064001
436,20,60,l1,20,False,15,1,0.172413793103448
430,15,45,l1,15,True,25,1,0.169950738916256
412,10,30,l1,10,True,15,1,0.169950738916256
431,15,45,l2,15,True,25,1,0.167487684729064
426,15,45,l1,15,True,5,1,0.167487684729064
440,20,60,l1,20,True,1,1,0.167487684729064
445,20,60,l2,20,True,15,1,0.167487684729064
402,10,30,l1,10,False,5,1,0.167487684729064
461,5,60,l2,20,True,15,2,0.167487684729064
447,20,60,l2,20,True,25,1,0.16502463054187103
409,10,30,l2,10,True,1,1,0.16502463054187103
388,5,15,l1,5,False,15,1,0.16502463054187103
442,20,60,l1,20,True,5,1,0.16256157635467902
